,Unnamed: 0,Home,Away,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
53,53,Dallas Mavericks,Charlotte Hornets,0.8,0.478,0.409,0.767,42.7,23.4,13.1,6.7,4.0,5.0,119.8,114.9,0.612,0.4,0.48,0.315,0.82,41.8,25.3,14.7,7.7,6.4,-5.0,112.2,117.2,0.575,1,11/05/2023
54,54,Portland Trail Blazers,Memphis Grizzlies,0.5,0.428,0.291,0.813,45.4,19.2,16.1,9.0,5.8,-4.3,104.5,108.4,0.525,0.0,0.433,0.317,0.771,42.0,23.6,15.4,9.1,6.8,-9.4,102.9,112.6,0.537,0,11/05/2023
55,55,San Antonio Spurs,Toronto Raptors,0.6,0.477,0.364,0.768,38.7,28.2,15.6,8.6,5.5,-5.9,109.7,116.5,0.579,0.333,0.457,0.348,0.722,47.4,27.9,16.8,6.8,5.3,-1.5,106.6,107.4,0.548,0,11/05/2023
56,56,Cleveland Cavaliers,Golden State Warriors,0.333,0.442,0.327,0.781,44.2,23.7,12.9,7.5,6.7,-5.2,105.8,111.2,0.541,0.833,0.478,0.371,0.792,45.5,28.8,15.2,8.4,5.0,7.6,116.5,109.3,0.59,1,11/05/2023
57,57,Detroit Pistons,Golden State Warriors,0.286,0.46,0.385,0.8,45.8,27.7,17.8,6.1,6.1,-2.4,109.0,111.1,0.557,0.714,0.461,0.374,0.769,45.1,28.3,14.9,8.6,4.8,5.0,114.4,109.9,0.574,0,11/06/2023
58,58,Indiana Pacers,San Antonio Spurs,0.5,0.482,0.371,0.764,40.8,29.8,12.9,6.5,5.3,-3.1,116.5,119.5,0.583,0.5,0.481,0.356,0.768,39.3,28.1,15.6,8.2,5.7,-6.0,109.2,116.1,0.577,1,11/06/2023
59,59,Philadelphia 76ers,Washington Wizards,0.8,0.486,0.39,0.818,46.1,24.7,14.9,8.7,7.4,12.3,117.3,105.5,0.597,0.2,0.48,0.339,0.704,36.7,27.1,13.6,9.0,4.7,-9.6,108.3,118.3,0.569,1,11/06/2023
60,60,Orlando Magic,Dallas Mavericks,0.667,0.453,0.323,0.726,46.7,24.7,15.0,10.0,5.8,6.2,109.8,103.5,0.548,0.833,0.477,0.397,0.763,43.2,24.5,12.7,6.1,4.3,5.1,119.9,114.6,0.608,0,11/06/2023
61,61,New York Knicks,LA Clippers,0.333,0.399,0.324,0.704,51.1,21.3,14.2,8.4,2.3,0.0,103.9,103.7,0.502,0.6,0.507,0.42,0.704,42.4,24.6,15.3,10.8,4.4,11.8,117.4,105.8,0.611,1,11/06/2023
62,62,Miami Heat,Los Angeles Lakers,0.333,0.453,0.391,0.809,42.9,25.6,14.6,8.5,3.0,-4.7,107.2,110.9,0.559,0.5,0.467,0.297,0.785,43.5,23.7,14.0,7.4,7.1,-3.7,108.2,112.1,0.564,1,11/06/2023
