,Unnamed: 0.2,Home,Away,Game_ID,H_Score,A_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date,Season,Home_W_Pct_10,Away_W_Pct_10,H_Team_Elo_Before,A_Team_Elo_Before,H_Team_Elo_After,A_Team_Elo_After
37,37,New Orleans Pelicans,Sacramento Kings,22100074,109,113,0.2,0.425,0.352,0.8,49.9,22.3,18.1,6.4,5.4,-7.4,100.2,107.1,0.52,0.5,0.444,0.342,0.731,44.4,23.9,13.7,6.8,4.6,-3.7,107.8,111.2,0.544,0,2021-10-29,2021-22,0.1,0.1,1504.9679484899457,1493.060534032586,1497.1221407792195,1500.906341743312
38,38,Denver Nuggets,Dallas Mavericks,22100075,106,75,0.5,0.488,0.333,0.642,41.8,22.5,18.6,9.4,2.2,-1.5,101.2,103.5,0.566,0.75,0.418,0.329,0.681,49.0,20.9,13.1,6.5,5.8,-0.8,103.0,103.8,0.517,1,2021-10-29,2021-22,0.0,0.2,1477.270160376818,1513.2069929352415,1498.1389902336316,1492.338163078428
39,39,Miami Heat,Charlotte Hornets,22100073,114,99,0.75,0.446,0.306,0.811,52.4,22.9,14.3,6.8,1.9,14.7,106.5,92.0,0.538,0.8,0.473,0.413,0.739,43.9,25.6,13.1,9.5,4.0,4.9,114.8,109.0,0.573,1,2021-10-29,2021-22,0.2,0.2,1526.0844219755154,1514.8720729331678,1536.4011114228892,1504.555383485794
40,40,Brooklyn Nets,Indiana Pacers,22100072,105,98,0.4,0.432,0.339,0.778,45.6,21.1,13.4,6.3,6.7,-6.5,100.6,107.3,0.534,0.2,0.464,0.357,0.818,45.0,22.4,16.7,5.6,5.6,-3.6,108.6,112.5,0.571,1,2021-10-29,2021-22,0.1,0.0,1480.4381352169607,1475.6385685882024,1487.0648804680643,1469.0118233370988
41,41,Los Angeles Lakers,Cleveland Cavaliers,22100077,113,101,0.4,0.476,0.38,0.708,41.5,23.1,15.1,7.4,5.8,-3.4,108.0,111.4,0.57,0.6,0.462,0.282,0.795,46.4,25.0,15.4,7.6,4.4,1.8,105.0,102.8,0.549,1,2021-10-29,2021-22,0.2,0.2,1503.4966129755394,1528.7392270712128,1513.884797737472,1518.35104230928
42,42,Portland Trail Blazers,LA Clippers,22100076,111,92,0.5,0.469,0.354,0.761,45.6,20.4,15.7,8.3,4.8,3.8,108.6,104.3,0.579,0.25,0.427,0.307,0.743,39.2,24.9,10.9,12.1,3.4,2.2,102.2,100.5,0.52,1,2021-10-29,2021-22,0.1,0.1,1496.333325529262,1502.7568811407148,1509.3916506728772,1489.6985559970994
43,43,Philadelphia 76ers,Atlanta Hawks,22100082,122,94,0.6,0.479,0.4,0.848,44.3,23.1,14.6,7.6,7.4,4.5,113.4,108.6,0.595,0.6,0.465,0.336,0.763,51.1,24.4,12.4,6.4,4.4,6.0,108.4,102.6,0.543,1,2021-10-30,2021-22,0.2,0.2,1509.9049968860838,1509.4133940284355,1526.5914149642892,1492.72697595023
44,44,Golden State Warriors,Oklahoma City Thunder,22100086,103,82,0.8,0.46,0.374,0.774,46.0,27.2,15.9,8.2,4.6,5.0,107.7,102.3,0.57,0.2,0.427,0.311,0.717,43.2,21.1,15.1,7.4,3.2,-13.3,100.6,113.2,0.52,1,2021-10-30,2021-22,0.2,0.1,1516.2680117177104,1484.6103234030902,1528.1379004038513,1472.7404347169493
45,45,Chicago Bulls,Utah Jazz,22100083,107,99,0.8,0.458,0.404,0.874,40.9,24.9,13.0,9.5,6.3,7.9,107.9,100.0,0.568,1.0,0.462,0.333,0.814,50.2,19.3,15.6,8.2,4.5,18.1,114.1,96.0,0.586,1,2021-10-30,2021-22,0.1,0.2,1501.7755497462508,1533.1959812787725,1510.0855118072425,1524.886019217781
46,46,Phoenix Suns,Cleveland Cavaliers,22100088,101,92,0.25,0.459,0.328,0.714,45.7,25.6,13.5,7.1,2.9,-8.4,104.4,113.9,0.542,0.5,0.455,0.295,0.776,45.2,25.8,15.5,8.1,3.9,-0.5,105.6,105.5,0.544,1,2021-10-30,2021-22,0.0,0.2,1493.0222322455732,1518.35104230928,1501.7151075732197,1509.6581669816337
47,47,Detroit Pistons,Orlando Magic,22100079,110,103,0.0,0.408,0.258,0.726,43.3,19.8,17.0,8.5,5.8,-11.8,94.0,105.0,0.486,0.167,0.431,0.348,0.75,44.9,22.0,17.3,5.4,4.4,-12.2,103.9,116.3,0.542,1,2021-10-30,2021-22,0.0,0.1,1480.92062622795,1482.6113673561397,1487.732875058878,1475.7991185252115
48,48,Milwaukee Bucks,San Antonio Spurs,22100085,93,102,0.6,0.451,0.337,0.769,42.9,21.6,13.2,8.3,4.5,-0.8,110.7,110.6,0.564,0.2,0.47,0.34,0.64,44.2,27.1,14.0,8.8,5.1,0.2,107.2,106.4,0.539,0,2021-10-30,2021-22,0.1,0.0,1503.35921082453,1487.2454105400936,1491.129748844215,1499.4748725204083
49,49,Indiana Pacers,Toronto Raptors,22100081,94,97,0.167,0.452,0.346,0.795,45.1,22.0,16.2,6.1,5.8,-4.2,106.7,110.9,0.554,0.5,0.426,0.321,0.756,49.3,20.3,14.2,11.9,3.6,4.2,106.6,102.7,0.518,0,2021-10-30,2021-22,0.0,0.2,1469.0118233370988,1508.248366531476,1463.1281326344008,1514.132057234174
50,50,Minnesota Timberwolves,Denver Nuggets,22100087,91,93,0.75,0.426,0.327,0.765,44.0,23.3,15.9,11.1,7.5,5.0,103.6,99.0,0.537,0.6,0.494,0.327,0.652,43.6,23.6,18.8,9.1,2.4,5.0,102.0,98.0,0.572,0,2021-10-30,2021-22,0.1,0.1,1497.4106561812991,1498.1389902336316,1491.6447167903575,1503.904929624573
51,51,Washington Wizards,Boston Celtics,22100078,115,112,0.8,0.457,0.337,0.8,46.5,20.2,13.2,7.4,5.8,4.3,108.7,104.7,0.557,0.4,0.435,0.35,0.794,42.8,23.3,14.8,8.5,7.6,-4.4,105.7,110.6,0.551,1,2021-10-30,2021-22,0.2,0.2,1511.4061940342403,1512.7683858890564,1515.9269155870063,1508.2476643362902
52,52,Memphis Grizzlies,Miami Heat,22100084,103,129,0.6,0.443,0.351,0.807,48.8,25.5,15.6,10.1,5.3,-0.6,110.9,112.1,0.546,0.8,0.451,0.296,0.844,54.0,23.0,15.0,6.6,2.1,14.8,108.2,93.6,0.545,0,2021-10-30,2021-22,0.1,0.3,1489.1712833319289,1536.4011114228892,1468.9824638326145,1556.5899309222036
